_id,session_id,site_id,cluster_id,station_id,space_id,arrival_time,departure_time,done_charging_time,kwh_delivered,timezone,user_id,kwh_requested,minutes_available,requested_departure,wh_per_mile,plug_duration_hours,charging_duration_hours,time_to_requested_departure_hours,electricity_price_usd_per_kwh,electricity_price_norm,solar_availability,grid_active_sessions,grid_load_ratio,grid_load_norm,hourly_site_intensity,hourly_site_intensity_norm,rl_hour_sin,rl_hour_cos,rl_weekday_norm,rl_energy_delivered_norm,rl_energy_requested_norm,rl_fulfillment_ratio,rl_plug_duration_norm,rl_charging_duration_norm,rl_time_to_departure_norm,rl_price_norm,rl_solar_norm,rl_grid_load_norm,rl_state_dim
synth_0000,sess_000000,caltech,caltech,station_004,space_35,2020-10-05 06:50:12+00:00,2020-10-05 08:32:57+00:00,2020-10-05 07:40:12+00:00,1.3,America/Los_Angeles,,1.39,102,2020-10-05 08:32:57+00:00,250,1.7125,0.8333333333333334,1.7125,0.12457075619631647,0.017579831524294123,0.019538360533740803,4,0.2,0.8,2.0,1.0,-0.043619387365336194,0.9990482215818578,0.0,0.045630045630045635,0.04239097285757853,0.9352517985611511,0.17145956168650572,0.1417702377014319,0.17145956168650572,0.017579831524294123,0.019538360533740803,0.8,12
synth_0001,sess_000001,caltech,caltech,station_007,space_35,2020-10-03 13:44:32+00:00,2020-10-03 17:06:02+00:00,2020-10-03 15:41:12+00:00,0.93,America/Los_Angeles,user_58,1.06,201,2020-10-03 17:06:02+00:00,250,3.3583333333333334,1.9444444444444444,3.3583333333333334,0.20440023840639257,0.3246163015630483,0.21807217702144616,2,0.1,0.4,1.0,0.5,0.981627183447664,-0.19080899537654458,0.8333333333333334,0.03264303264303264,0.032326928941750536,0.8773584905660378,0.3362442985871621,0.33079722130334105,0.3362442985871621,0.3246163015630483,0.21807217702144616,0.4,12
synth_0002,sess_000002,caltech,caltech,station_011,space_7,2020-10-09 23:26:59+00:00,2020-10-10 06:53:02+00:00,2020-10-10 01:49:15+00:00,2.82,America/Los_Angeles,,2.65,446,2020-10-10 06:53:02+00:00,300,7.434166666666667,2.371111111111111,7.434166666666667,0.39125676793709685,1.0,0.6707632048526465,2,0.1,0.4,1.0,0.5,-0.9170600743851238,-0.3987490689252466,0.6666666666666666,0.09898209898209898,0.08081732235437633,1.0641509433962264,0.7443263989320281,0.4033835830064742,0.7443263989320281,1.0,0.6707632048526465,0.4,12
synth_0003,sess_000003,caltech,caltech,station_004,space_25,2020-11-22 02:12:01+00:00,2020-11-22 05:56:55+00:00,2020-11-22 02:50:29+00:00,1.83,America/Los_Angeles,,1.86,224,2020-11-22 05:56:55+00:00,300,3.7483333333333335,0.6411111111111111,3.7483333333333335,0.3941084707458682,1.0,0.32033118180389625,2,0.1,0.4,1.0,0.5,-0.9986295347545739,0.05233595624294306,1.0,0.06423306423306424,0.05672461116193962,0.9838709677419355,0.3752920235843809,0.10906856953830159,0.3752920235843809,1.0,0.32033118180389625,0.4,12
synth_0004,sess_000004,caltech,caltech,station_010,space_6,2020-11-19 12:44:40+00:00,2020-11-19 15:52:44+00:00,2020-11-19 13:25:39+00:00,2.71,America/Los_Angeles,user_13,2.85,188,2020-11-19 15:52:44+00:00,320,3.1344444444444446,0.6830555555555555,3.1344444444444446,0.09073447217019245,0.0,0.0,2,0.1,0.4,1.0,0.5,0.9455185755993167,0.32556815445715676,0.5,0.09512109512109512,0.08691674290942361,0.9508771929824561,0.31382801201468463,0.11620433816927367,0.31382801201468463,0.0,0.0,0.4,12
synth_0005,sess_000005,caltech,caltech,station_003,space_39,2020-10-29 21:32:14+00:00,2020-10-30 00:25:11+00:00,2020-10-29 22:53:01+00:00,5.41,America/Los_Angeles,user_69,6.45,172,2020-10-30 00:25:11+00:00,280,2.8825,1.3463888888888889,2.8825,0.20046730739706523,0.30948964383486627,1.0,3,0.15,0.6,1.0,0.5,-0.6156614753256582,-0.788010753606722,0.5,0.18989118989118992,0.1967063129002745,0.8387596899224806,0.28860273667816216,0.22905344737961345,0.28860273667816216,0.30948964383486627,1.0,0.6,12
synth_0006,sess_000006,caltech,caltech,station_018,space_15,2020-11-08 08:33:39+00:00,2020-11-08 13:17:10+00:00,2020-11-08 13:14:30+00:00,18.04,America/Los_Angeles,user_8,17.89,283,2020-11-08 13:17:10+00:00,250,4.7252777777777775,4.680833333333333,4.7252777777777775,0.12191760604750927,0.007375407875035679,0.0013325840460837646,2,0.1,0.4,1.0,0.5,0.14349262199117932,0.9896513868196702,1.0,0.6332046332046332,0.5455931686489783,1.0083845723868081,0.4731060184670152,0.7963234251689429,0.4731060184670152,0.007375407875035679,0.0013325840460837646,0.4,12
synth_0007,sess_000007,caltech,caltech,station_019,space_21,2020-10-25 02:28:31+00:00,2020-10-25 07:23:06+00:00,2020-10-25 03:16:01+00:00,4.24,America/Los_Angeles,user_64,4.49,294,2020-10-25 07:23:06+00:00,320,4.909722222222222,0.7916666666666666,4.909722222222222,0.3752563611148463,0.981755235057101,0.135852732135991,1,0.05,0.2,1.0,0.5,-0.9271838545667874,0.37460659341591196,1.0,0.14882414882414885,0.13693199146081123,0.9443207126948775,0.4915730337078652,0.1346817258163603,0.4915730337078652,0.981755235057101,0.135852732135991,0.2,12
synth_0008,sess_000008,caltech,caltech,station_009,space_38,2020-10-08 08:19:53+00:00,2020-10-08 12:04:58+00:00,2020-10-08 09:37:59+00:00,4.45,America/Los_Angeles,user_75,4.72,225,2020-10-08 12:04:58+00:00,280,3.751388888888889,1.3016666666666667,3.751388888888889,0.11974798263743566,0.0,0.0,1,0.05,0.2,1.0,0.5,0.337916718003327,0.9411760152563706,0.5,0.1561951561951562,0.1439463250991156,0.9427966101694916,0.3755979530537324,0.22144511128963662,0.3755979530537324,0.0,0.0,0.2,12
synth_0009,sess_000009,caltech,caltech,station_004,space_10,2020-10-07 21:45:10+00:00,2020-10-08 03:35:01+00:00,2020-10-07 22:44:14+00:00,0.58,America/Los_Angeles,user_55,0.66,349,2020-10-08 03:35:01+00:00,320,5.8308333333333335,0.9844444444444445,5.8308333333333335,0.2072043410863963,0.335401311870755,1.0,1,0.05,0.2,2.0,1.0,-0.6593458151000688,-0.7518398074789774,0.3333333333333333,0.020358020358020357,0.020128087831655993,0.8787878787878787,0.5837968628323507,0.16747790747129154,0.5837968628323507,0.335401311870755,1.0,0.2,12
